         72940 function calls (71769 primitive calls) in 0.269 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      552    0.000    0.000    0.001    0.000 {built-in method builtins.any}
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        6    0.001    0.000    0.001    0.000 threading.py:820(__init__)
     7048    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     5046    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     9362    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       16    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     4427    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        6    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
   306/29    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        2    0.000    0.000    0.001    0.000 memory_profiler.py:853(show_results)
       26    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
       40    0.000    0.000    0.001    0.000 {built-in method builtins.next}
       12    0.000    0.000    0.001    0.000 synchronize.py:114(_make_name)
     1537    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 tempfile.py:1(<module>)
      125    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
       12    0.000    0.000    0.001    0.000 tempfile.py:153(__next__)
     5610    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     3114    0.001    0.000    0.001    0.000 {method 'partition' of 'str' objects}
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:391(cached)
      667    0.000    0.000    0.001    0.000 sre_parse.py:254(get)
        6    0.000    0.000    0.001    0.000 queues.py:370(put)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      188    0.000    0.000    0.000    0.000 inspect.py:1059(tokeneater)
       43    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      318    0.000    0.000    0.000    0.000 inspect.py:773(getfile)
       59    0.000    0.000    0.000    0.000 sre_compile.py:276(_optimize_charset)
        1    0.000    0.000    0.000    0.000 synchronize.py:1(<module>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:169(__enter__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1174(create_module)
2546/2236    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      949    0.000    0.000    0.000    0.000 sre_parse.py:233(__next)
     1022    0.000    0.000    0.000    0.000 inspect.py:823(<genexpr>)
     3114    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISLNK}
       40    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 pool.py:179(Process)
       12    0.000    0.000    0.000    0.000 random.py:506(choices)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1522(_get_spec)
      828    0.000    0.000    0.000    0.000 inspect.py:820(<genexpr>)
        8    0.000    0.000    0.000    0.000 threading.py:538(__init__)
